"","LGA","count","Gender","percentage"
"380","51470",294,"Male",0.536496350364963
"381","51540",2889,"Male",0.522612156295224
"382","51610",716,"Male",0.50351617440225
"383","51680",2781,"Male",0.508223684210526
"384","51750",4875,"Male",0.484881639148598
"385","51820",51565,"Male",0.493572501986159
"386","51890",4435,"Male",0.504091839054331
"387","51960",1931,"Male",0.534903047091413
"388","52030",570,"Male",0.55019305019305
"389","52100",599,"Male",0.522687609075044
"390","52170",3736,"Male",0.491773068316441
"391","52240",558,"Male",0.512396694214876
"392","52310",463,"Male",0.536500579374276
"393","52380",107,"Male",0.551546391752577
"394","52450",803,"Male",0.551132463967056
"395","52520",782,"Male",0.547235829251225
"396","52590",1698,"Male",0.528478057889823
"397","52660",6938,"Male",0.494406042898881
"398","52730",2904,"Male",0.496834901625321
"399","52800",3899,"Male",0.504398447606727
"400","52870",2899,"Male",0.493867120954003
"401","52940",347,"Male",0.502898550724638
"402","53010",351,"Male",0.523099850968703
"403","53080",420,"Male",0.544041450777202
"404","53150",3539,"Male",0.479799349240781
"405","53220",7060,"Male",0.666603720139741
"406","53290",7165,"Male",0.503301489182355
"407","53360",1428,"Male",0.523460410557185
"408","53430",13965,"Male",0.483335063856297
"409","53570",2702,"Male",0.517922177496646
"410","53640",654,"Male",0.538271604938272
"411","53710",515,"Male",0.498547918683446
"412","53780",60000,"Male",0.50816020597427
"413","53800",19167,"Male",0.496117409535642
"414","53920",1599,"Male",0.489140409911288
"415","53990",13284,"Male",0.500282453960004
"416","54060",1799,"Male",0.504062762678621
"417","54130",615,"Male",0.554553651938683
"418","54170",76539,"Male",0.495574476350804
"419","54200",28458,"Male",0.49536110289126
"420","54280",15675,"Male",0.521474433613893
"421","54310",11943,"Male",0.556186839286546
"422","54340",2124,"Male",0.511683931582751
"423","54410",616,"Male",0.503267973856209
"424","54480",318,"Male",0.568872987477639
"425","54550",1005,"Male",0.506297229219144
"426","54620",478,"Male",0.547537227949599
"427","54690",217,"Male",0.524154589371981
"428","54760",403,"Male",0.526797385620915
"429","54830",19970,"Male",0.513130171129041
"430","54900",663,"Male",0.522870662460568
"431","54970",790,"Male",0.685169124024284
"432","55040",883,"Male",0.625797306874557
"433","55110",39188,"Male",0.484921980374445
"434","55180",4664,"Male",0.504216216216216
"435","55250",632,"Male",0.592314901593252
"436","55320",47299,"Male",0.48223443410173
"437","55390",311,"Male",0.63469387755102
"438","55460",1761,"Male",0.525671641791045
"439","55530",257,"Male",0.564835164835165
"440","55600",1259,"Male",0.518533772652389
"441","55670",401,"Male",0.534666666666667
"442","55740",4058,"Male",0.463400708005025
"443","55810",262,"Male",0.54356846473029
"444","55880",284,"Male",0.538899430740038
"445","55950",295,"Male",0.531531531531532
"446","56090",19900,"Male",0.521529470346201
"447","56160",87,"Male",0.568627450980392
"448","56230",8365,"Male",0.500958198586657
"449","56300",685,"Male",0.515813253012048
"450","56370",408,"Male",0.504326328800989
"451","56460",2519,"Male",0.48798915149167
"452","56580",10425,"Male",0.493584584063255
"453","56620",784,"Male",0.488169364881694
"454","56730",5723,"Male",0.515028797696184
"455","56790",1732,"Male",0.521843928894245
"456","56860",132,"Male",0.513618677042802
"457","56930",692,"Male",0.422982885085575
"458","57000",397,"Male",0.643435980551053
"459","57080",11463,"Male",0.525898059365968
"460","57140",582,"Male",0.507853403141361
"461","57210",2614,"Male",0.514668241779878
"462","57280",7727,"Male",0.53403828875527
"463","57350",504,"Male",0.494602551521099
"464","57420",941,"Male",0.542989036353145
"465","57490",62028,"Male",0.495771856067267
"466","57630",53,"Male",0.595505617977528
"467","57700",13612,"Male",0.507285804792606
"468","57770",510,"Male",0.539112050739958
"469","57840",20544,"Male",0.489270999547501
"470","57910",102664,"Male",0.488392449383468
"471","57980",9421,"Male",0.486647037553593
"472","58050",66480,"Male",0.496671672232557
"473","58190",217,"Male",0.539800995024876
"474","58260",306,"Male",0.515151515151515
"475","58330",2245,"Male",0.505744537057896
"476","58400",191,"Male",0.545714285714286
"477","58470",158,"Male",0.568345323741007
"478","58510",17429,"Male",0.498113746784796
"479","58540",494,"Male",0.542857142857143
"480","58570",16807,"Male",0.498827649660167
"481","58610",907,"Male",0.489740820734341
"482","58680",226,"Male",0.509009009009009
"483","58760",93015,"Male",0.494203345163964
"484","58820",2071,"Male",0.499276759884282
"485","58890",418,"Male",0.516687268232386
"486","59030",182,"Male",0.598684210526316
"487","59100",378,"Male",0.526462395543176
"488","59170",521,"Male",0.531090723751274
"489","59250",510,"Male",0.68733153638814
"490","59310",708,"Male",0.531930879038317
"491","59320",215,"Male",0.525672371638142
"492","59330",271,"Male",0.525193798449612
"493","59340",3534,"Male",0.494404029099049
"494","59350",221,"Male",0.655786350148368
"495","59360",731,"Male",0.608153078202995
"496","59370",1806,"Male",0.500831946755408
"497","60210",3096,"Male",0.507208387942333
"498","60410",8061,"Male",0.488190406976744
"499","60610",9084,"Male",0.480762106377349
"500","60810",10385,"Male",0.486143619511282
"501","61010",1141,"Male",0.532928538066324
"502","61210",4046,"Male",0.510471864748928
"503","61410",26587,"Male",0.484996078002153
"504","61510",5015,"Male",0.500449056980341
"505","61610",11668,"Male",0.472465176546809
"506","61810",3318,"Male",0.501435695934714
"507","62010",490,"Male",0.54083885209713
"508","62210",3375,"Male",0.49896510940272
"509","62410",2238,"Male",0.508636363636364
"510","62610",22388,"Male",0.484033468099367
"511","62810",24573,"Male",0.48718253732231
"512","63010",8079,"Male",0.49873448978332
"513","63210",3133,"Male",0.511259791122715
"514","63410",810,"Male",0.511041009463722
"515","63610",17327,"Male",0.483278944579254
"516","63810",5256,"Male",0.491260865501449
"517","64010",31569,"Male",0.483638202040629
"518","64210",9425,"Male",0.488797842547454
"519","64610",6359,"Male",0.495944470441429
"520","64810",7134,"Male",0.494935479395033
"521","65010",3116,"Male",0.515637928181367
"522","65210",1222,"Male",0.515177065767285
"523","65410",6719,"Male",0.494844601561349
"524","65610",2159,"Male",0.520366353338154
"525","65810",11131,"Male",0.489963905273352
"526","70200",12131,"Male",0.490082010261382
"527","70420",3425,"Male",0.514650638617581
"528","70540",92,"Male",0.560975609756098
"529","70620",1780,"Male",0.484090290998096
"530","70700",693,"Male",0.525398028809704
"531","71000",40446,"Male",0.513248058474189
"532","71300",4478,"Male",0.496122313317084
"533","72200",5062,"Male",0.520942677781208
"534","72300",14169,"Male",0.593963529658353
"535","72330",3144,"Male",0.521479515674241
"536","72800",17042,"Male",0.504410110696738
"537","73600",3320,"Male",0.510376633358955
"538","74050",1227,"Male",0.500203832042397
"539","74550",1445,"Male",0.51423487544484
"540","74560",237,"Male",0.511879049676026
"541","74660",3159,"Male",0.510504201680672
"542","74680",1554,"Male",0.490840176879343
"543","79399",3778,"Male",0.546981323295208
"544","89399",195432,"Male",0.492449421328085
"545","99399",2432,"Male",0.537696219323458
